Country,Region,Rate,Initial,Population,Saving,GDPpc_Rate,GDPpc_Init,HDI_Rate,HDI_Init,GINI
Australia,P,0,4.605170186,0.270067955,-0.025616996,0.230082536,10.69904055,0.043579881,0.898,3.499533282
"Bahamas, The",NAM,0,4.605170186,-0.25677855,-0.349810369,-0.177922133,10.36051963,0.037931222,0.776,
Bahrain,MENA,0,4.605170186,-0.123764613,-0.217923518,-0.0268713,10.04129513,0.065957968,0.792,
Canada,NAM,0,4.605170186,0.305627907,-0.22250524,0.144202007,10.6836901,0.061506247,0.867,3.505557397
Cyprus,MENA,0,4.605170186,-0.855124311,-0.336169436,0.085897989,10.19197039,0.077930369,0.802,3.404525172
Denmark,E,0,4.605170186,0.847956977,0.093847001,0.094252998,10.9304362,0.072617042,0.863,3.214867803
Finland,E,0,4.605170186,0.325304902,-0.378989382,0.138059932,10.60783115,0.067593291,0.858,3.288401888
France,E,0,4.605170186,-0.539740773,-0.115699831,0.090078052,10.55739175,0.057223848,0.849,3.391147046
Germany,E,0,4.605170186,1.785127717,0.244230938,0.194738532,10.5453,0.073284724,0.868,3.360375387
Iceland,E,0,4.605170186,0.013701182,0.442033935,0.316977278,10.50656389,0.081472812,0.86,3.234749174
Israel,MENA,0,4.605170186,-0.298539328,0.147078157,0.202500367,10.22688688,0.055854973,0.853,3.660994251
Kuwait,MENA,0,4.605170186,-0.46930831,-0.657943856,-0.015252761,10.48549951,0.022642477,0.786,
Luxembourg,E,0,4.605170186,0.472223494,-0.431147435,0.139735403,11.44532011,0.055727891,0.855,3.407841924
Malta,E,0,4.605170186,1.26603776,0.500835294,0.353296423,9.815020483,0.11109119,0.783,3.33220451
Netherlands,E,0,4.605170186,-0.294981647,-0.038880975,0.13359725,10.73928763,0.057665642,0.876,3.317815773
New Zealand,P,0,4.605170186,1.273401009,0.071576436,0.258735992,10.27411882,0.05158094,0.869,
Norway,E,0,4.605170186,0.305521587,-0.109421644,0.101100784,11.31092755,0.03640659,0.917,3.230804396
Singapore,AS,0,4.605170186,-0.288911108,-0.001431876,0.468687737,10.41601348,0.127100502,0.819,
Spain,E,0,4.605170186,-1.679581743,0.00616928,0.107143201,10.25185313,0.074713849,0.825,3.45946629
Sweden,E,0,4.605170186,2.057284594,0.044674304,0.229010098,10.70758865,0.038276953,0.897,3.230804396
Switzerland,E,0,4.605170186,0.664373609,-0.07408505,0.126272975,11.12443438,0.058969047,0.889,3.453157121
