Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Bahamas, The",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Luxembourg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Malta,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
New Zealand,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Singapore,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Spain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Sweden,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United States,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Tunisia,93.3,94.3,95.05,95.76,96.34,96.85,97.24,97.56,97.88,98.1,98.34,98.52,98.68,98.8,98.94,99.03,99.1
Jordan,97.28,97.59,97.69,97.98,98.11,98.24,98.37,98.41,98.56,98.65,98.74,98.84,98.9,98.95,98.94,99.04,99.06
Argentina,94.8,95.21,95.62,96.02,96.28,96.68,96.84,97.02,97.34,97.49,97.63,97.82,97.94,98.1,98.16,98.29,98.4
Uruguay,96.05,96.29,96.5,96.64,96.82,96.95,97.13,97.28,97.37,97.45,97.52,97.6,97.69,97.77,97.84,97.91,97.97
"Egypt, Arab Rep.",83.28,85.24,87.71,88.85,90.28,91.98,93.14,94,94.6,95.34,95.99,96.27,96.48,96.85,97.11,97.31,97.62
St. Lucia,86.29,87.55,88.65,89.7,90.72,91.55,92.38,93.07,93.73,94.38,94.88,95.41,95.81,96.23,96.61,96.97,97.23
